Timestamp,Age,Gender Identity,Years of Formal training,Years of Informal Training,Performance Experience,Audio Output,"Baseline Mood (Valence, Arousal, Anxiety, Focus)",Mode 2 Hues,Mode 4 Hues,Mode 6 Hues,Likert Mode 2,Likert Mode 4,Likert Mode 6,"Post (Valence, Arousal, Anxiety, Focus)",Synaesthesia
01/04/2026 18:00:14,19,Female,0,1-2,No,Laptop/phone speakers,"5,2,3,3","325,171","54,181","28,242","3,3,3,4,3,3,2,2","4,5,4,4,2,4,4,4","5,3,2,4,4,2,2,3","3,4,4,4",No
01/04/2026 18:49:25,19,Non-binary,3-5,N/A,Yes,In-ear headphones,"3,2,4,4","71,320","14,93","116,283","3,3,3,3,4,2,3,2","2,4,4,2,2,4,3,4","3,4,4,3,2,5,3,4","2,4,4,2",No
01/04/2026 19:55:43,20,Male,0,0,No,In-ear headphones,"3,3,4,4","326,56","316,251","233,53","2,1,1,5,1,1,2,3","3,2,2,5,2,1,3,3","2,2,2,4,2,1,2,3","3,2,2,4",No
01/04/2026 21:16:23,21,Male,3-5,0,Yes,Laptop/phone speakers,"4,2,2,3","182,160","65,174","237,99","3,3,3,2,3,4,4,1","3,2,3,3,3,4,3,2","3,3,3,3,2,4,3,2","3,2,2,2",No
01/04/2026 22:19:20,23,Male,3-5,N/A,Yes,In-ear headphones,"4,2,3,2","226,213","310,277","191,185","5,3,4,3,5,4,5,2","4,3,3,2,3,3,3,2","5,5,2,4,4,4,4,3","4,3,3,2",No
02/04/2026 11:00:11,19,Male,1-2,3-5,Yes,Laptop/phone speakers,"2,2,4,3","258,55","112,258","122,212","2,2,2,4,4,2,2,3","4,4,4,5,2,2,3,4","4,4,3,2,3,2,2,4","1,2,4,1",No
02/04/2026 11:03:47,20,Male,5-10,N/A,Yes,In-ear headphones,"4,2,2,3","203,140","266,235","256,29","4,4,3,3,3,4,4,3","2,3,3,3,2,4,4,3","4,4,2,4,4,2,4,4","2,4,3,4",No
02/04/2026 11:04:05,20,Male,5-10,N/A,Yes,In-ear headphones,"4,2,1,2","232,337","7,58","235,195","5,4,1,3,4,1,3,4","5,3,2,3,4,1,3,4","4,2,3,3,4,1,3,3","4,2,2,3",No
02/04/2026 11:06:15,20,Prefer not to say,0,0,No,Over-ear headphones,"3,3,1,3","277,49","161,68","163,341","5,5,4,4,3,4,4,5","3,2,2,2,4,4,3,4","2,4,4,2,2,4,4,4","4,1,2,4",I don't know
02/04/2026 13:12:06,19,Male,3-5,N/A,Yes,Laptop/phone speakers,"3,2,2,4","61,233","38,336","269,175","3,2,3,4,5,2,3,4","3,4,2,1,2,1,3,3","3,4,2,3,4,2,4,4","3,3,1,4",I don't know
02/04/2026 14:13:03,21,Male,1-2,0,Yes,In-ear headphones,"3,1,4,4",284,"18,94","238,139","2,4,4,4,2,2,4,4","2,2,4,3,2,4,5,5","5,4,2,4,4,2,4,3","2,3,4,3",No
02/04/2026 14:13:23,19,Male,10+,1-2,Yes,Laptop/phone speakers,"4,3,2,4","166,346","27,123","52,279","4,4,3,2,4,3,5,4","5,4,1,4,5,2,3,4","3,2,2,4,2,1,2,4","4,4,2,5",No
02/04/2026 16:40:25,20,Female,5-10,N/A,Yes,Laptop/phone speakers,"4,2,3,2","131,163","176,213","0,19","5,4,2,5,5,3,5,3","4,4,3,3,3,2,4,4","2,3,5,4,3,3,3,3","4,2,3,2",No
03/04/2026 16:01:24,22,Female,3-5,N/A,Yes,Over-ear headphones,"3,3,3,2","215,138","41,154","286,124","4,4,4,3,2,3,3,4","4,4,3,3,5,1,4,3","2,4,4,3,2,3,4,4","3,3,3,2",No
04/04/2026 14:24:26,18,Male,5-10,1-2,Yes,In-ear headphones,"5,4,2,5","91,53","119,56","198,37","4,5,4,4,2,2,2,4","4,5,3,4,3,2,3,4","4,4,2,4,5,1,2,4","5,5,3,5",No
06/04/2026 15:02:21,51,Female,10+,N/A,Yes,Laptop/phone speakers,"4,3,1,5","186,41","158,87","194,305","4,4,1,5,4,2,3,3","3,4,2,5,4,2,4,4","4,4,1,5,4,2,3,3","4,4,1,5",Yes - diagnosed
06/04/2026 15:15:11,39,Female,5-10,10+,Yes,Laptop/phone speakers,"3,2,2,2","225,19","111,42","235,307","5,3,2,3,4,3,3,3","4,4,4,4,4,3,5,2","2,3,5,3,2,4,4,4","3,4,4,4",No
07/04/2026 20:09:47,20,Male,10+,N/A,Yes,In-ear headphones,"4,4,2,5","118,193","263,326","0,73","3,4,3,3,5,2,3,3","3,3,2,3,2,3,2,4","4,3,3,4,2,1,3,4","3,3,3,2",No
08/04/2026 21:28:41,20,Male,0,3-5,Yes,Laptop/phone speakers,"2,2,4,4","360,168","161,212","295,24","4,3,4,2,5,1,2,3","2,2,4,4,3,1,3,3","4,3,3,4,5,2,3,2","2,1,1,3",No
12/04/2026 13:22:46,52,Female,3-5,N/A,No,External speakers,"5,4,1,5","297,180","297,297","268,280","4,4,3,5,4,3,3,3","4,4,2,3,4,4,4,4","3,3,3,5,3,4,4,4","4,4,3,5",I don't know
15/04/2026 10:16:45,20,Male,0,0,No,In-ear headphones,"4,4,2,4","232,36","22,128","280,66","4,3,2,4,5,1,2,4","5,3,2,3,5,2,1,3","5,3,2,4,5,2,3,5","4,4,1,4",I don't know
